Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
12694,150.00465000,391.67349000,11623
12812,150.93420000,248.25560000,11505
12892,151.56441000,236.38204000,11425
12961,152.10796000,301.09831000,11356
13009,152.48608000,252.69286000,11308
13059,152.87996000,234.94089000,11258
13093,153.14780000,286.35795000,11224
13212,154.08523000,236.21095000,11105
13282,154.63666000,304.75689000,11035
13356,155.21960000,272.85350000,10961
13952,159.91463000,253.02029000,10365
13976,160.10369000,249.04377000,10341
14338,162.95537000,301.54300000,9979
14343,162.99476000,297.53806000,9974
14647,165.38954000,272.20395000,9670
15065,168.68236000,295.59157000,9252
15338,170.83294000,248.49032000,8979
15395,171.28196000,310.52609000,8922
15435,171.59706000,237.32324000,8882
15469,171.86490000,338.06880000,8848
15472,171.88853000,414.77007000,8845
15507,172.16425000,283.43833000,8810
16041,176.37087000,251.83607000,8276
16238,177.92275000,257.70585000,8079
16493,179.93153000,246.27345000,7824
16517,180.12059000,273.21119000,7800
16521,180.15210000,310.61090000,7796
16532,180.23876000,262.75805000,7785
17365,186.80077000,367.93558000,6952
17577,188.47081000,292.15522000,6740
17588,188.55747000,320.05170000,6729
17598,188.63624000,235.98060000,6719
17833,190.48747000,308.61324000,6484
17836,190.51110000,267.09262000,6481
18419,195.10373000,353.32806000,5898
18613,196.63197000,264.57778000,5704
18629,196.75802000,1065.10410000,5688
18637,196.82104000,437.26647000,5680
18639,196.83679000,402.49093000,5678
18645,196.88406000,254.81953000,5672
19414,202.94191000,250.78032000,4903
19699,205.18701000,490.41655000,4618
19701,205.20277000,276.24451000,4616
19703,205.21852000,303.85476000,4614
19706,205.24216000,668.37557000,4611
19710,205.27367000,845.20513000,4607
19720,205.35244000,322.96132000,4597
19944,207.11702000,356.77879000,4373
19970,207.32183000,522.48956000,4347
19974,207.35334000,866.85048000,4343
19982,207.41636000,237.20432000,4335
20506,211.54421000,256.42771000,3811
20510,211.57572000,249.93299000,3807
20528,211.71752000,409.01625000,3789
20544,211.84356000,604.13777000,3773
20554,211.92233000,412.38395000,3763
20582,212.14291000,330.91857000,3735
20584,212.15866000,243.41914000,3733
20692,213.00944000,253.37337000,3625
20791,213.78932000,306.55761000,3526
20796,213.82871000,303.13389000,3521
20799,213.85234000,452.74847000,3518
20801,213.86809000,2149.77830000,3516
20804,213.89173000,1294.90600000,3513
20808,213.92324000,646.83346000,3509
20812,213.95475000,290.54072000,3505
20814,213.97050000,481.37134000,3503
20816,213.98626000,449.49680000,3501
20818,214.00201000,483.92424000,3499
20843,214.19895000,288.96553000,3474
21113,216.32589000,237.66054000,3204
21362,218.28741000,267.42848000,2955
21364,218.30316000,342.76440000,2953
21529,219.60296000,272.81547000,2788
21771,221.50933000,264.69879000,2546
21786,221.62750000,820.69790000,2531
21789,221.65113000,654.43681000,2528
21792,221.67476000,1483.43950000,2525
21795,221.69840000,3002.42200000,2522
21798,221.72203000,445.07462000,2519
21800,221.73778000,375.27971000,2517
21803,221.76142000,309.60683000,2514
21807,221.79293000,302.47024000,2510
21825,221.93472000,288.30576000,2492
21835,222.01350000,250.62359000,2482
22012,223.40783000,314.87345000,2305
22015,223.43146000,247.37626000,2302
22023,223.49448000,353.54440000,2294
