Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
9101,121.70055000,466.89880000,7702
9117,121.82659000,413.01794000,7686
9144,122.03928000,403.66259000,7659
9463,124.55223000,432.82305000,7340
9548,125.22182000,456.49893000,7255
9610,125.71023000,385.80996000,7193
9621,125.79688000,434.49861000,7182
9706,126.46648000,494.53014000,7097
9708,126.48223000,526.69226000,7095
9850,127.60085000,470.69047000,6953
9946,128.35709000,492.47099000,6857
9948,128.37285000,776.45668000,6855
9951,128.39648000,500.09065000,6852
9954,128.42011000,530.02583000,6849
9989,128.69583000,493.82170000,6814
9992,128.71946000,447.29349000,6811
10045,129.13697000,457.96914000,6758
10317,131.27967000,528.47834000,6486
10794,135.03727000,651.51692000,6009
10797,135.06090000,661.82014000,6006
10852,135.49417000,768.23904000,5951
10921,136.03772000,522.87884000,5882
10974,136.45523000,934.90476000,5829
11638,141.68594000,522.01056000,5165
11643,141.72533000,563.01676000,5160
11652,141.79622000,642.35933000,5151
11655,141.81986000,625.20079000,5148
11658,141.84349000,481.40049000,5145
11661,141.86712000,505.96419000,5142
11695,142.13496000,454.31759000,5108
12164,145.82954000,410.79967000,4639
12398,147.67289000,492.05128000,4405
12402,147.70440000,882.05698000,4401
12415,147.80681000,413.56162000,4388
12441,148.01162000,1165.60910000,4362
12443,148.02738000,772.02822000,4360
12448,148.06677000,450.08462000,4355
12450,148.08252000,879.19235000,4353
12533,148.73636000,717.41916000,4270
12536,148.75999000,522.39174000,4267
12547,148.84665000,724.10900000,4256
12571,149.03571000,589.06135000,4232
12576,149.07510000,657.00269000,4227
12580,149.10661000,440.97444000,4223
12582,149.12236000,958.45344000,4221
12593,149.20901000,698.82170000,4210
12975,152.21825000,466.64792000,3828
13096,153.17143000,576.09687000,3707
13106,153.25021000,806.26008000,3697
13108,153.26596000,945.89380000,3695
13110,153.28172000,1023.67800000,3693
13114,153.31323000,532.07261000,3689
13120,153.36049000,622.38354000,3683
13138,153.50229000,445.26967000,3665
13297,154.75482000,605.38210000,3506
13303,154.80209000,638.27921000,3500
13306,154.82572000,405.67681000,3497
13310,154.85723000,455.91867000,3493
13322,154.95176000,1420.71980000,3481
13324,154.96752000,766.80998000,3479
13327,154.99115000,1109.49390000,3476
13331,155.02266000,1245.07000000,3472
13335,155.05417000,671.19100000,3468
13339,155.08568000,2407.00370000,3464
13342,155.10931000,985.24848000,3461
13351,155.18021000,595.82814000,3452
13357,155.22748000,940.99329000,3446
13764,158.43365000,1083.18000000,3039
13980,160.13520000,625.84320000,2823
14009,160.36365000,391.57129000,2794
14020,160.45030000,565.84854000,2783
14022,160.46606000,1127.88200000,2781
14072,160.85994000,945.35993000,2731
14074,160.87569000,484.34168000,2729
14184,161.74223000,386.32516000,2619
14195,161.82888000,998.97507000,2608
14197,161.84463000,741.36181000,2606
14204,161.89978000,711.01117000,2599
14206,161.91553000,889.68300000,2597
14210,161.94704000,611.11024000,2593
14220,162.02582000,456.47623000,2583
14222,162.04157000,1149.73300000,2581
14227,162.08096000,802.64267000,2576
14232,162.12035000,1568.41340000,2571
14235,162.14398000,1992.39030000,2568
14246,162.23063000,408.91728000,2557
14388,163.34925000,808.80567000,2415
14416,163.56982000,485.42912000,2387
14442,163.77464000,505.64863000,2361
14725,166.00399000,405.56166000,2078
14825,166.79175000,511.83785000,1978
14828,166.81538000,432.40788000,1975
14837,166.88628000,1154.71020000,1966
14844,166.94142000,861.03308000,1959
14848,166.97293000,1356.61070000,1955
14854,167.02020000,546.91949000,1949
14859,167.05958000,423.50202000,1944
14863,167.09109000,592.24126000,1940
14866,167.11473000,919.58367000,1937
14868,167.13048000,509.65587000,1935
14882,167.24077000,938.06889000,1921
