Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
78,100.63493000,713.50358000,2731
150,101.21514000,1157.24130000,2659
153,101.23931000,3574.61970000,2656
156,101.26349000,1615.71370000,2653
160,101.29572000,3557.36010000,2649
163,101.31990000,1116.45270000,2646
166,101.34408000,1475.19220000,2643
169,101.36825000,1492.82410000,2640
171,101.38437000,1180.52230000,2638
178,101.44078000,1176.47390000,2631
180,101.45690000,1096.74710000,2629
196,101.58583000,1498.54580000,2613
224,101.81147000,1426.93620000,2585
246,101.98876000,677.61329000,2563
297,102.39974000,1012.54460000,2512
314,102.53674000,2942.40980000,2495
318,102.56897000,5170.30790000,2491
321,102.59315000,4043.18780000,2488
326,102.63344000,2363.85850000,2483
330,102.66567000,946.06731000,2479
333,102.68985000,4326.07350000,2476
336,102.71403000,2415.73130000,2473
338,102.73014000,1171.62370000,2471
340,102.74626000,2166.10580000,2469
342,102.76238000,1034.61540000,2467
344,102.77849000,1832.20140000,2465
616,104.97041000,706.73333000,2193
719,105.80044000,950.01062000,2090
721,105.81656000,708.21060000,2088
825,106.65465000,1568.46290000,1984
897,107.23486000,896.28441000,1912
906,107.30739000,792.34094000,1903
908,107.32351000,952.39498000,1901
910,107.33962000,918.92469000,1899
912,107.35574000,2937.45480000,1897
914,107.37186000,5721.01160000,1895
917,107.39603000,3655.32300000,1892
923,107.44438000,1477.21400000,1886
928,107.48468000,643.66454000,1881
935,107.54109000,720.59373000,1874
953,107.68614000,652.62287000,1856
961,107.75061000,809.04340000,1848
973,107.84731000,824.16810000,1836
978,107.88760000,1745.61410000,1831
980,107.90372000,1221.08680000,1829
982,107.91984000,4430.98730000,1827
984,107.93595000,12328.45100000,1825
986,107.95207000,1752.79950000,1823
988,107.96819000,684.39668000,1821
994,108.01654000,1403.10760000,1815
999,108.05683000,1024.76240000,1810
1049,108.45976000,1028.33170000,1760
1064,108.58064000,921.03896000,1745
1068,108.61287000,6734.96290000,1741
1071,108.63705000,1638.44060000,1738
1175,109.47513000,1654.76740000,1634
1241,110.00700000,650.67935000,1568
1381,111.13519000,752.50796000,1428
1384,111.15937000,1146.24900000,1425
1387,111.18354000,721.29863000,1422
1389,111.19966000,1337.98050000,1420
1392,111.22383000,1656.58030000,1417
1396,111.25607000,2014.17930000,1413
1398,111.27219000,805.70934000,1411
1400,111.28830000,857.66945000,1409
1404,111.32054000,4030.68540000,1405
1407,111.34471000,2735.84070000,1402
1411,111.37695000,5569.00720000,1398
1414,111.40112000,5633.12400000,1395
1416,111.41724000,4699.55860000,1393
1419,111.44141000,886.02479000,1390
1421,111.45753000,679.37477000,1388
1423,111.47365000,800.66520000,1386
1429,111.52200000,893.29104000,1380
1431,111.53812000,907.18947000,1378
1433,111.55423000,1419.36140000,1376
1436,111.57841000,705.07895000,1373
1447,111.66705000,1198.92130000,1362
1470,111.85240000,862.89784000,1339
1492,112.02969000,1540.23350000,1317
1495,112.05386000,717.36147000,1314
1521,112.26338000,1215.08150000,1288
1533,112.36009000,682.35731000,1276
1535,112.37620000,804.80257000,1274
1543,112.44067000,653.95602000,1266
1549,112.48902000,1671.84860000,1260
1554,112.52932000,984.14577000,1255
1558,112.56155000,9918.30930000,1251
1562,112.59378000,10651.62100000,1247
1566,112.62602000,5301.45920000,1243
1573,112.68243000,6443.92600000,1236
1575,112.69854000,4244.92920000,1234
1579,112.73078000,1125.33180000,1230
1598,112.88389000,705.43722000,1211
1716,113.83480000,950.28781000,1093
1763,114.21355000,8067.30680000,1046
1840,114.83406000,723.62452000,969
2007,116.17983000,912.89864000,802
2011,116.21206000,6391.60170000,798
2091,116.85675000,760.85277000,718
2120,117.09044000,700.13719000,689
2126,117.13879000,4730.56400000,683
2130,117.17103000,19329.81000000,679
2132,117.18715000,764.47937000,677
2135,117.21132000,1101.33860000,674
2137,117.22744000,918.99204000,672
2180,117.57396000,1370.77290000,629
2183,117.59813000,1000.62440000,626
2188,117.63842000,819.06601000,621
2200,117.73513000,1319.37460000,609
2202,117.75124000,789.80089000,607
2204,117.76736000,1558.23620000,605
2209,117.80765000,2752.43710000,600
2211,117.82377000,1358.62450000,598
2213,117.83989000,16744.08700000,596
2215,117.85600000,5171.83020000,594
2218,117.88018000,1388.53030000,591
2221,117.90436000,4927.06050000,588
2225,117.93659000,1737.25700000,584
2229,117.96882000,1901.91650000,580
2232,117.99300000,1139.29180000,577
2235,118.01717000,737.01524000,574
2239,118.04941000,1043.40840000,570
2242,118.07358000,691.37446000,567
2257,118.19446000,720.69193000,552
2262,118.23476000,992.22054000,547
2266,118.26699000,1075.35480000,543
2291,118.46845000,1110.93800000,518
2296,118.50875000,1639.18770000,513
2300,118.54098000,13691.03100000,509
2305,118.58127000,1945.21850000,504
2309,118.61351000,3230.53700000,500
2322,118.71827000,667.28022000,487
2333,118.80691000,642.60689000,476
2425,119.54830000,4197.74250000,384
2559,120.62814000,1881.30690000,250
2599,120.95048000,724.56741000,210
2611,121.04718000,820.71709000,198
2619,121.11165000,680.07498000,190
2621,121.12777000,776.79121000,188
2630,121.20029000,953.09067000,179
2632,121.21641000,1666.30580000,177
2636,121.24865000,2766.26930000,173
2641,121.28894000,692.86576000,168
2645,121.32117000,1393.75790000,164
2649,121.35341000,3314.44170000,160
2651,121.36952000,1527.12170000,158
2653,121.38564000,3872.31820000,156
2657,121.41787000,4915.43760000,152
2660,121.44205000,7188.18410000,149
2663,121.46623000,11541.25500000,146
2665,121.48234000,4600.80520000,144
2667,121.49846000,4471.00360000,142
2671,121.53069000,1712.51020000,138
2673,121.54681000,1419.16420000,136
2682,121.61934000,1114.60640000,127
2689,121.67575000,709.32976000,120
2698,121.74827000,1180.13950000,111
2708,121.82886000,649.54310000,101
2720,121.92556000,780.38372000,89
2722,121.94168000,1014.40600000,87
2762,122.26402000,875.08582000,47
2773,122.35266000,1409.98840000,36
2780,122.40907000,975.87894000,29
2784,122.44131000,859.15165000,25
2787,122.46548000,894.58444000,22
2792,122.50578000,2210.95330000,17
2796,122.53801000,1527.51590000,13
2798,122.55413000,2234.63730000,11
2800,122.57024000,1685.11140000,9
2803,122.59442000,6164.65090000,6
2805,122.61054000,7674.14900000,4
2807,122.62665000,3107.97550000,2
2809,122.64277000,21255.46700000,0
2811,122.65889000,16072.36100000,2
2815,122.69112000,4445.81450000,6
2817,122.70724000,4066.91830000,8
2819,122.72336000,2963.34730000,10
2821,122.73947000,983.29307000,12
2827,122.78782000,1626.35520000,18
2830,122.81200000,3414.27280000,21
2834,122.84423000,1111.72700000,25
2838,122.87647000,1926.19330000,29
2842,122.90870000,1171.09420000,33
2845,122.93288000,2315.54030000,36
2856,123.02152000,803.30927000,47
3021,124.35118000,808.67846000,212
3078,124.81052000,1056.50620000,269
3083,124.85081000,865.49300000,274
3139,125.30209000,813.52855000,330
3234,126.06765000,732.45894000,425
