Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
668,25.26336000,3943.65680000,854
680,25.35789100,4175.80670000,842
685,25.39727900,7943.84170000,837
692,25.45242200,4943.16520000,830
701,25.52332000,4024.55160000,821
713,25.61785100,6363.23350000,809
729,25.74389200,3880.54760000,793
732,25.76752500,5182.53510000,790
737,25.80691300,8310.44660000,785
746,25.87781100,7626.06620000,776
748,25.89356600,4255.34210000,774
755,25.94870900,4012.64970000,767
761,25.99597400,6586.64150000,761
766,26.03536200,15154.82800000,756
768,26.05111700,7966.94110000,754
770,26.06687200,5830.64310000,752
776,26.11413800,6469.18950000,746
779,26.13777100,6523.58930000,743
784,26.17715800,12641.21600000,738
786,26.19291400,8435.64230000,736
793,26.24805600,4519.26000000,729
835,26.57891400,5999.29450000,687
894,27.04369100,4682.02120000,628
899,27.08307900,10408.54900000,623
903,27.11458900,5013.92480000,619
909,27.16185400,15550.08600000,613
914,27.20124200,6136.34600000,608
918,27.23275200,38641.81000000,604
922,27.26426300,8675.67880000,600
925,27.28789500,30199.74200000,597
927,27.30365100,25092.45900000,595
929,27.31940600,19687.19400000,593
932,27.34303800,20941.69900000,590
934,27.35879400,20206.51100000,588
937,27.38242600,11574.82100000,585
944,27.43756900,12149.05200000,578
949,27.47695700,3946.24730000,573
953,27.50846700,4089.26690000,569
965,27.60299800,4268.35180000,557
967,27.61875300,9862.25080000,555
970,27.64238600,6474.96690000,552
972,27.65814100,3803.77700000,550
986,27.76842700,3853.97160000,536
990,27.79993700,20677.30600000,532
994,27.83144800,14535.42200000,528
998,27.86295800,15834.28900000,524
1000,27.87871300,18118.80800000,522
1002,27.89446800,39403.48200000,520
1004,27.91022300,18025.65900000,518
1007,27.93385600,103964.01000000,515
1010,27.95748900,68320.10800000,512
1013,27.98112100,107920.29000000,509
1016,28.00475400,33429.37000000,506
1018,28.02050900,29184.06600000,504
1020,28.03626400,7604.81260000,502
1022,28.05202000,12087.36400000,500
1025,28.07565200,7606.97780000,497
1040,28.19381600,7237.62220000,482
1070,28.43014300,9557.68940000,452
1176,29.26516500,4265.28800000,346
1181,29.30455300,4655.78220000,341
1198,29.43847200,5787.92860000,324
1200,29.45422700,5922.18040000,322
1202,29.46998200,4720.87560000,320
1206,29.50149200,3965.88830000,316
1224,29.64328800,4135.46070000,298
1229,29.68267600,11885.06500000,293
1237,29.74569700,8982.02100000,285
1243,29.79296200,6752.74210000,279
1248,29.83235000,11954.17800000,274
1258,29.91112600,7903.86690000,264
1261,29.93475800,4684.93930000,261
1267,29.98202400,7869.05760000,255
1269,29.99777900,4010.13170000,253
1271,30.01353400,7606.73890000,251
1273,30.02928900,19060.19800000,249
1279,30.07655500,12685.77900000,243
1282,30.10018700,15649.61600000,240
1284,30.11594200,16819.17400000,238
1287,30.13957500,3755.83500000,235
1289,30.15533000,10673.90900000,233
1292,30.17896300,7435.76440000,230
1295,30.20259600,25441.67700000,227
1301,30.24986100,41961.06700000,221
1305,30.28137100,5552.11330000,217
1307,30.29712600,18993.08000000,215
1310,30.32075900,9754.43460000,212
1314,30.35226900,6080.40080000,208
1317,30.37590200,8885.76170000,205
1319,30.39165700,4447.98750000,203
1327,30.45467800,4514.76940000,195
1333,30.50194300,7039.07540000,189
1337,30.53345300,6924.53950000,185
1339,30.54920900,5281.31320000,183
1345,30.59647400,6327.28960000,177
1349,30.62798400,4037.45410000,173
1385,30.91157700,4105.19590000,137
1388,30.93520900,6673.87830000,134
1394,30.98247500,4253.36650000,128
1401,31.03761800,4607.30150000,121
1410,31.10851600,5329.84810000,112
1421,31.19516900,4339.85590000,101
1425,31.22667900,5522.61900000,97
1430,31.26606700,3916.37550000,92
1433,31.28970000,10935.73700000,89
1439,31.33696500,16424.03300000,83
1442,31.36059800,116023.03000000,80
1445,31.38423100,10926.01200000,77
1447,31.39998600,44579.76500000,75
1449,31.41574100,65189.78000000,73
1456,31.47088400,18389.77500000,66
1464,31.53390500,4582.55580000,58
1468,31.56541500,5190.72520000,54
1471,31.58904800,3756.21430000,51
1477,31.63631300,3802.14640000,45
1486,31.70721100,6351.85190000,36
1488,31.72296600,16753.23900000,34
1490,31.73872100,25301.84300000,32
1493,31.76235400,10267.46000000,29
1497,31.79386400,12981.13600000,25
1502,31.83325200,19712.29900000,20
1504,31.84900700,5811.62650000,18
1509,31.88839500,8267.86420000,13
1512,31.91202800,10277.22800000,10
1516,31.94353800,112149.72000000,6
1522,31.99080400,192781.19000000,0
1526,32.02231400,172399.56000000,4
1530,32.05382400,21716.39000000,8
1532,32.06957900,24635.42000000,10
1535,32.09321200,55821.66300000,13
1540,32.13260000,14310.80500000,18
1542,32.14835500,14563.90600000,20
1547,32.18774300,7468.75220000,25
1553,32.23500800,6948.12500000,31
1560,32.29015100,6871.28780000,38
1563,32.31378400,5817.44780000,41
1580,32.44770200,4125.51770000,58
1586,32.49496800,7202.73700000,64
1590,32.52647800,3745.97960000,68
1594,32.55798800,10405.50000000,72
1596,32.57374400,4413.64210000,74
1614,32.71554000,6160.72790000,92
1694,33.34574500,3753.86060000,172
1698,33.37725600,4478.83270000,176
1703,33.41664300,4755.08690000,181
1708,33.45603100,4343.63110000,186
1724,33.58207200,6043.01260000,202
1734,33.66084800,4539.73200000,212
1740,33.70811300,4208.85880000,218
1742,33.72386800,4173.65630000,220
1745,33.74750100,8473.28740000,223
1748,33.77113400,3746.18970000,226
1750,33.78688900,13094.38000000,228
1757,33.84203200,6836.34600000,235
1759,33.85778700,18636.02400000,237
1761,33.87354200,10924.46300000,239
1764,33.89717500,12094.59300000,242
1767,33.92080800,5627.32230000,245
1769,33.93656300,5092.01340000,247
1773,33.96807300,17530.48200000,251
1778,34.00746100,3856.16960000,256
1781,34.03109400,21828.47900000,259
1786,34.07048100,18024.73600000,264
1790,34.10199200,14413.01900000,268
1792,34.11774700,10180.23900000,270
1795,34.14138000,96438.78900000,273
1797,34.15713500,6223.86580000,275
1803,34.20440000,7905.15180000,281
1806,34.22803300,11222.00500000,284
1810,34.25954300,12933.96200000,288
1812,34.27529800,20278.61200000,290
1816,34.30680900,10701.77600000,294
1819,34.33044100,29704.80700000,297
1822,34.35407400,5986.34200000,300
1828,34.40133900,11402.29300000,306
1830,34.41709400,4420.55230000,308
1835,34.45648200,12687.26300000,313
1838,34.48011500,5651.28440000,316
1840,34.49587000,5001.35050000,318
1845,34.53525800,3805.16610000,323
1854,34.60615600,3935.11820000,332
1859,34.64554400,4112.48830000,337
1911,35.05517700,4687.71430000,389
1921,35.13395300,5676.09430000,399
1924,35.15758600,8269.64060000,402
1931,35.21272900,15217.23400000,409
1933,35.22848400,4539.60430000,411
1937,35.25999400,11067.02700000,415
1941,35.29150500,10619.89200000,419
1946,35.33089200,9956.58270000,424
1949,35.35452500,9300.42730000,427
1951,35.37028000,9132.77560000,429
